"Дата","Транспорт","Дата статуса / выгрузки","Дата регистрации","№ рейса","Дата выпуска","ТПО / ГТД","Количество товаров","Отправитель груза","Получатель груза","Таможенный пост","№ договора","Дата договора","№ приложения","Дата приложения","Регистрационный номер","УИН","Брокер","Общая сумма","Явка / копия","Организация","Сумма сборов / пошлины","Сумма утил. сбора"
"07.12.2022","DS FAVOR","20.12.2022","","","20.12.2022 0:00:00","ГТД","","","АВТОКОМ ООО","10702020","","","96","17.11.2022","10009100/071222/3161631","","","290 199,92","","АЗИЯ СТАР ООО","101 199,92","189 000,00"
"26.01.2023","DS FAVOR","26.01.2023","","","26.01.2023 0:00:00","ГТД","","","АЗИЯ СТАР ООО","10702020","","","5","06.01.2023","10702070/260123/3037415","","","","","","",""
"26.01.2023","DS FAVOR","07.02.2023","","","07.02.2023 0:00:00","ГТД","","","АЗИЯ СТАР ООО","10702020","","","12","06.01.2023","10009100/260123/3011177","","","469 587,43","","ООО ""АВТОКОМ""","155 787,43","313 800,00"
